1620
SNORD41	SNORD41	MissingGeneType
C19orf43	C19orf43	MissingGeneType
ASNA1	ASNA1	MissingGeneType
BEST2	BEST2	MissingGeneType
HOOK2	HOOK2	MissingGeneType
JUNB	JUNB	MissingGeneType
PRDX2	PRDX2	MissingGeneType
RNASEH2A	RNASEH2A	MissingGeneType
RTBDN	RTBDN	MissingGeneType
MAST1	MAST1	MissingGeneType
DNASE2	DNASE2	MissingGeneType
KLF1	KLF1	MissingGeneType
GCDH	GCDH	MissingGeneType
SYCE2	SYCE2	MissingGeneType
FARSA	FARSA	MissingGeneType
CALR	CALR	MissingGeneType
RAD23A	RAD23A	MissingGeneType
GADD45GIP1	GADD45GIP1	MissingGeneType
DAND5	DAND5	MissingGeneType
NFIX	NFIX	MissingGeneType
LYL1	LYL1	MissingGeneType
TRMT1	TRMT1	MissingGeneType
NACC1	NACC1	MissingGeneType
STX10	STX10	MissingGeneType
IER2	IER2	MissingGeneType
CACNA1A	CACNA1A	MissingGeneType
CCDC130	CCDC130	MissingGeneType
MRI1	MRI1	MissingGeneType
C19orf53	C19orf53	MissingGeneType
ZSWIM4	ZSWIM4	MissingGeneType
LOC284454	LOC284454	MissingGeneType
MIR24-2	MIR24-2	MissingGeneType
MIR27A	MIR27A	MissingGeneType
MIR23A	MIR23A	MissingGeneType
MIR181C	MIR181C	MissingGeneType
MIR181D	MIR181D	MissingGeneType
NANOS3	NANOS3	MissingGeneType
C19orf57	C19orf57	MissingGeneType
CC2D1A	CC2D1A	MissingGeneType
PODNL1	PODNL1	MissingGeneType
DCAF15	DCAF15	MissingGeneType
RFX1	RFX1	MissingGeneType
RLN3	RLN3	MissingGeneType
IL27RA	IL27RA	MissingGeneType
PALM3	PALM3	MissingGeneType
LOC113230	LOC113230	MissingGeneType
SAMD1	SAMD1	MissingGeneType
PRKACA	PRKACA	MissingGeneType
ASF1B	ASF1B	MissingGeneType
LOC100507373	LOC100507373	MissingGeneType
LPHN1	LPHN1	MissingGeneType
CD97	CD97	MissingGeneType
DDX39A	DDX39A	MissingGeneType
PKN1	PKN1	MissingGeneType
PTGER1	PTGER1	MissingGeneType
GIPC1	GIPC1	MissingGeneType
DNAJB1	DNAJB1	MissingGeneType
MIR639	MIR639	MissingGeneType
TECR	TECR	MissingGeneType
NDUFB7	NDUFB7	MissingGeneType
CLEC17A	CLEC17A	MissingGeneType
EMR3	EMR3	MissingGeneType
ZNF333	ZNF333	MissingGeneType
EMR2	EMR2	MissingGeneType
OR7C1	OR7C1	MissingGeneType
OR7A5	OR7A5	MissingGeneType
OR7A10	OR7A10	MissingGeneType
OR7A17	OR7A17	MissingGeneType
OR7C2	OR7C2	MissingGeneType
SLC1A6	SLC1A6	MissingGeneType
CCDC105	CCDC105	MissingGeneType
CASP14	CASP14	MissingGeneType
OR1I1	OR1I1	MissingGeneType
SYDE1	SYDE1	MissingGeneType
ILVBL	ILVBL	MissingGeneType
NOTCH3	NOTCH3	MissingGeneType
EPHX3	EPHX3	MissingGeneType
BRD4	BRD4	MissingGeneType
AKAP8	AKAP8	MissingGeneType
AKAP8L	AKAP8L	MissingGeneType
WIZ	WIZ	MissingGeneType
MIR1470	MIR1470	MissingGeneType
RASAL3	RASAL3	MissingGeneType
PGLYRP2	PGLYRP2	MissingGeneType
CYP4F22	CYP4F22	MissingGeneType
CYP4F8	CYP4F8	MissingGeneType
CYP4F3	CYP4F3	MissingGeneType
CYP4F12	CYP4F12	MissingGeneType
OR10H2	OR10H2	MissingGeneType
OR10H3	OR10H3	MissingGeneType
CYP4F24P	CYP4F24P	MissingGeneType
OR10H5	OR10H5	MissingGeneType
OR10H1	OR10H1	MissingGeneType
UCA1	UCA1	MissingGeneType
CYP4F2	CYP4F2	MissingGeneType
CYP4F11	CYP4F11	MissingGeneType
OR10H4	OR10H4	MissingGeneType
LOC126536	LOC126536	MissingGeneType
FLJ25328	FLJ25328	MissingGeneType
TPM4	TPM4	MissingGeneType
RAB8A	RAB8A	MissingGeneType
HSH2D	HSH2D	MissingGeneType
CIB3	CIB3	MissingGeneType
FAM32A	FAM32A	MissingGeneType
AP1M1	AP1M1	MissingGeneType
KLF2	KLF2	MissingGeneType
EPS15L1	EPS15L1	MissingGeneType
CALR3	CALR3	MissingGeneType
C19orf44	C19orf44	MissingGeneType
CHERP	CHERP	MissingGeneType
SLC35E1	SLC35E1	MissingGeneType
MED26	MED26	MissingGeneType
C19orf42	C19orf42	MissingGeneType
TMEM38A	TMEM38A	MissingGeneType
NWD1	NWD1	MissingGeneType
SIN3B	SIN3B	MissingGeneType
F2RL3	F2RL3	MissingGeneType
CPAMD8	CPAMD8	MissingGeneType
HAUS8	HAUS8	MissingGeneType
MYO9B	MYO9B	MissingGeneType
USE1	USE1	MissingGeneType
OCEL1	OCEL1	MissingGeneType
NR2F6	NR2F6	MissingGeneType
USHBP1	USHBP1	MissingGeneType
BABAM1	BABAM1	MissingGeneType
ANKLE1	ANKLE1	MissingGeneType
ABHD8	ABHD8	MissingGeneType
MRPL34	MRPL34	MissingGeneType
DDA1	DDA1	MissingGeneType
ANO8	ANO8	MissingGeneType
GTPBP3	GTPBP3	MissingGeneType
PLVAP	PLVAP	MissingGeneType
BST2	BST2	MissingGeneType
